	Genename	ALY	ESA	AHA	AHA1
6	AT3G10680.1	341204	Thhalv10020532m	NaN	119065
19	AT3G59940.1	486458	Thhalv10006395m	NaN	83407
29	AT4G14230.1	493487	Thhalv10025066m	NaN	122775
76	AT2G18960.1	480836	Thhalv10022531m	NaN	8427
84	AT1G04610.1	470444	Thhalv10010013m	NaN	82388
96	AT3G25840.1	484347	Thhalv10003622m	NaN	10594
97	AT1G27030.1	921528	Thhalv10008275m	NaN	122280
100	AT2G24540.1	481310	Thhalv10000205m	NaN	173874
114	AT1G58684.1	475376	Thhalv10023633m	NaN	42761
128	AT3G56120.1	938564	Thhalv10005971m	NaN	1097
134	AT1G10095.1	312053	Thhalv10000880m	NaN	12762
160	AT3G29160.1	484683	Thhalv10004026m	NaN	2890
172	AT4G19810.1	329582	Thhalv10025464m	NaN	13447
177	AT3G29770.1	484732	Thhalv10004388m	NaN	26982
189	AT1G45249.3	473850	Thhalv10011493m	NaN	28259
191	AT4G21600.1	492716	Thhalv10025853m	NaN	3967
213	AT2G29580.1	344719	Thhalv10016591m	NaN	9473
225	AT2G21220.1	932046	Thhalv10000385m	NaN	82392
246	AT1G20960.1	472334	Thhalv10006525m	NaN	175386
278	AT1G36940.2	913493	Thhalv10004990m	NaN	27504
281	AT5G65960.1	951652	Thhalv10004346m	NaN	64273
301	AT1G44130.1	475850	Thhalv10011529m	NaN	153922
315	AT4G01110.1	490459	Thhalv10028895m	NaN	91072
329	AT2G04160.1	930737	Thhalv10002408m	NaN	161372
330	AT5G11260.1	940600	Thhalv10014851m	NaN	99020
342	AT3G26510.5	484412	Thhalv10004963m	NaN	31147
346	AT4G37050.1	490916	Thhalv10025319m	NaN	37981
368	AT5G14570.1	350602	Thhalv10013421m	NaN	175812
391	AT4G27990.1	945240	Thhalv10026192m	NaN	97852
416	AT1G08420.1	919586	Thhalv10006669m	NaN	24048
417	AT5G56590.1	950331	Thhalv10013309m	NaN	94290
438	AT5G42100.1	947488	Thhalv10027775m	NaN	162205
448	AT1G54580.1	474734	Thhalv10023754m	NaN	32680
459	AT4G02590.1	490301	Thhalv10028824m	NaN	130648
471	AT5G44670.1	494517	Thhalv10000855m	NaN	105221
488	AT5G02500.1	487029	Thhalv10012922m	NaN	68865
494	AT5G43080.1	948890	Thhalv10003238m	NaN	148816
499	AT1G76250.1	927017	Thhalv10018564m	NaN	172467
541	AT2G27770.1	481737	Thhalv10016903m	NaN	37218
581	AT5G10750.1	487909	Thhalv10015969m	NaN	91026
585	AT5G52110.1	495283	Thhalv10014339m	NaN	620
594	AT5G54770.1	950127	Thhalv10013978m	NaN	10286
605	AT5G13930.1	488219	Thhalv10013745m	NaN	166960
607	AT1G68260.1	475946	Thhalv10019154m	NaN	96535
617	AT2G18300.3	480739	Thhalv10022772m	NaN	57378
623	AT1G72010.1	926560	Thhalv10018667m	NaN	173947
632	AT3G54410.1	898379	Thhalv10019602m	NaN	128453
640	AT5G14050.1	488236	Thhalv10013183m	NaN	41192
663	AT2G01570.1	484073	Thhalv10005482m	NaN	130262
680	AT1G64235.1	474929	Thhalv10023808m	NaN	17919
695	AT3G20640.1	342218	Thhalv10020666m	NaN	38902
696	AT5G49700.1	949481	Thhalv10009678m	NaN	155449
699	AT2G20260.1	931351	Thhalv10002106m	NaN	78189
707	AT1G10820.2	910830	Thhalv10008502m	NaN	66057
712	AT5G42290.1	949072	Thhalv10028031m	NaN	99215
716	AT5G15870.1	941077	Thhalv10012764m	NaN	123134
733	AT3G53380.1	485711	Thhalv10010158m	NaN	31409
754	AT2G28920.1	481807	Thhalv10009927m	NaN	154618
762	AT5G47180.1	494260	Thhalv10001019m	NaN	131446
804	AT4G22190.1	945914	Thhalv10025698m	NaN	22707
830	AT1G13910.1	471551	Thhalv10008166m	NaN	161956
837	AT2G44270.2	483552	Thhalv10018770m	NaN	13771
838	AT2G03690.1	896342	Thhalv10004874m	NaN	971
841	AT4G23190.1	889847	Thhalv10024606m	NaN	28406
847	AT1G22500.1	472490	Thhalv10007970m	NaN	112613
851	AT5G43850.1	494620	Thhalv10003271m	NaN	14626
855	AT4G11640.1	489984	Thhalv10028795m	NaN	117024
856	AT3G46280.1	897446	Thhalv10002555m	NaN	27035
920	AT5G23100.1	941831	Thhalv10004740m	NaN	5647
961	AT4G18593.1	493000	Thhalv10027050m	NaN	75750
972	AT5G60680.1	496217	Thhalv10015882m	NaN	10815
977	AT2G44730.1	483602	Thhalv10001488m	NaN	44682
1007	AT1G07670.1	470794	Thhalv10006641m	NaN	86566
1063	AT5G27840.2	489548	Thhalv10004612m	NaN	1460
1067	AT1G60960.1	315258	Thhalv10023475m	NaN	122727
1078	AT4G16850.1	493182	Thhalv10025772m	NaN	136764
1094	AT1G80310.1	927476	Thhalv10019779m	NaN	2968
1097	AT1G48940.1	474039	Thhalv10012234m	NaN	133411
1142	AT4G01670.1	943577	Thhalv10028918m	NaN	37765
1147	AT5G66250.4	496982	Thhalv10004494m	NaN	25967
1156	AT5G38450.1	494132	Thhalv10027726m	NaN	98301
1159	AT4G16490.1	890595	Thhalv10025098m	NaN	3065
1161	AT5G57070.1	495801	Thhalv10013114m	NaN	20349
1179	AT1G54010.1	474528	Thhalv10011563m	NaN	115802
1188	AT1G62050.1	475131	Thhalv10023357m	NaN	19358
1190	AT3G48540.1	485212	Thhalv10010696m	NaN	19925
1224	AT4G22000.1	492669	Thhalv10026223m	NaN	27520
1228	AT1G70990.1	476229	Thhalv10019710m	NaN	9886
1236	AT4G08230.1	489736	Thhalv10029535m	NaN	95069
1259	AT2G28490.1	481759	Thhalv10017921m	NaN	16244
1275	AT2G01080.1	484014	Thhalv10001009m	NaN	4833
1284	AT4G02530.1	943474	Thhalv10028953m	NaN	72027
1287	AT1G74930.1	476631	Thhalv10019652m	NaN	160466
1290	AT2G35605.1	482518	Thhalv10017454m	NaN	153471
1299	AT2G34470.2	901275	Thhalv10017058m	NaN	20917
1311	AT1G09560.1	910662	Thhalv10008725m	NaN	155653
1325	AT5G12330.4	488079	Thhalv10014142m	NaN	82619
1335	AT1G30910.1	473334	Thhalv10011673m	NaN	105802
1339	AT5G56720.1	331971	Thhalv10013859m	NaN	94534
1345	AT4G21480.1	354635	Thhalv10024986m	NaN	104222
1374	AT3G56690.1	486110	Thhalv10005761m	NaN	182869
1390	AT4G14110.1	946999	Thhalv10025920m	NaN	4492
1412	AT2G38270.1	934539	Thhalv10017037m	NaN	123639
1435	AT3G23330.1	479848	Thhalv10020184m	NaN	92957
1443	AT1G32170.1	473398	Thhalv10008109m	NaN	175413
1467	AT2G07690.1	480240	Thhalv10022493m	NaN	51735
1468	AT3G15095.1	478940	Thhalv10020211m	NaN	35999
1481	AT1G35230.1	473665	Thhalv10001842m	NaN	19781
1503	AT1G10350.1	471147	Thhalv10008066m	NaN	158419
1511	AT2G02010.1	484123	Thhalv10004080m	NaN	136237
1515	AT4G26540.1	945418	Thhalv10024272m	NaN	179004
1517	AT3G44020.1	897156	Thhalv10021645m	NaN	137698
1571	AT2G34510.1	934049	Thhalv10016749m	NaN	36546
1605	AT5G50300.1	495089	Thhalv10013231m	NaN	159170
1621	AT4G13350.1	358984	Thhalv10024713m	NaN	177580
1634	AT4G28180.1	491957	Thhalv10026095m	NaN	17076
1649	AT5G42930.1	494726	Thhalv10003368m	NaN	16556
1652	AT5G43750.1	887362	Thhalv10003269m	NaN	4039
1663	AT1G09290.1	471019	Thhalv10008047m	NaN	81867
1664	AT1G12000.1	920029	Thhalv10007237m	NaN	180276
1703	AT1G72340.1	476363	Thhalv10018714m	NaN	80435
1718	AT5G15760.1	488420	Thhalv10014781m	NaN	68521
1719	AT5G44860.1	948595	Thhalv10001106m	NaN	133439
1731	AT5G08330.1	940295	Thhalv10014503m	NaN	141012
1745	AT5G17350.1	488600	Thhalv10014832m	NaN	168184
1758	AT5G41730.1	493812	Thhalv10027660m	NaN	154246
1765	AT1G12630.1	312283	Thhalv10009659m	NaN	36296
1777	AT3G01490.1	902937	Thhalv10020819m	NaN	153606
1810	AT1G07950.1	470845	Thhalv10008938m	NaN	5778
1856	AT2G43620.1	483473	Thhalv10001579m	NaN	156052
1866	AT2G47130.1	483888	Thhalv10001592m	NaN	115194
1872	AT1G78300.1	476998	Thhalv10019018m	NaN	56427
1890	AT1G52343.1	337391	Thhalv10012010m	NaN	127150
1895	AT2G22790.1	932241	Thhalv10000248m	NaN	118962
1909	AT4G05150.1	490165	Thhalv10028630m	NaN	15633
1913	AT2G36240.1	934248	Thhalv10016603m	NaN	182157
1931	AT1G71870.1	339407	Thhalv10018419m	NaN	7585
1941	AT3G57120.1	486155	Thhalv10005991m	NaN	126187
1956	AT2G32020.1	933764	Thhalv10017288m	NaN	83834
2005	AT1G47620.1	923071	Thhalv10027722m	NaN	147121
2015	AT4G21065.1	492783	Thhalv10027143m	NaN	32797
2044	AT5G59550.1	496089	Thhalv10013762m	NaN	155953
2061	AT3G28920.1	484662	Thhalv10004599m	NaN	39162
2073	AT2G33180.1	497470	Thhalv10017331m	NaN	121882
2079	AT4G34265.1	491242	Thhalv10026653m	NaN	2102
2104	AT4G22030.1	945944	Thhalv10026894m	NaN	109110
2106	AT3G27925.1	484581	Thhalv10004246m	NaN	61814
2132	AT3G01700.1	477345	Thhalv10021748m	NaN	5610
2134	AT1G55580.1	924071	Thhalv10011480m	NaN	152837
2140	AT5G17380.1	488603	Thhalv10013104m	NaN	93629
2141	AT5G50230.1	495081	Thhalv10013321m	NaN	106693
2176	AT3G18490.1	479351	Thhalv10020568m	NaN	148631
2181	AT5G15090.1	488350	Thhalv10014354m	NaN	45937
2209	AT1G31870.1	912993	Thhalv10007193m	NaN	49351
2216	AT5G03700.1	487149	Thhalv10013395m	NaN	174156
2218	AT1G19620.1	911785	Thhalv10009784m	NaN	130317
2243	AT1G59830.1	475327	Thhalv10023605m	NaN	3573
2262	AT4G13670.1	891001	Thhalv10025497m	NaN	174318
2279	AT5G55460.1	495629	Thhalv10015898m	NaN	116206
2304	AT3G47870.1	347883	Thhalv10011007m	NaN	42734
2313	AT1G50930.1	474213	Thhalv10011976m	NaN	129364
2314	AT5G66350.1	951606	Thhalv10004509m	NaN	8541
2331	AT4G11280.1	327275	Thhalv10028605m	NaN	142628
2361	AT2G01610.1	935881	Thhalv10004939m	NaN	80536
2366	AT5G52420.1	495312	Thhalv10016012m	NaN	75146
