	Genename	ALY	ESA	AHA	AHA1
0	AT4G04480.1	490095	Thhalv10028702m	Araha.34216s0001.1.p	NaN
4	AT5G13090.1	488125	Thhalv10015811m	Araha.3287s0009.1.p	NaN
12	AT3G60730.1	486545	Thhalv10006472m	Araha.7517s0014.1.p	NaN
36	AT1G35490.1	473679	Thhalv10001827m	Araha.21384s0002.1.p	NaN
42	AT4G18180.1	329713	Thhalv10027030m	Araha.12146s0009.1.p	NaN
43	AT1G54450.1	914801	Thhalv10023407m	Araha.32655s0001.1.p	NaN
46	AT4G38740.1	490638	Thhalv10026397m	Araha.40216s0004.1.p	NaN
53	AT5G28690.1	351825	Thhalv10004951m	Araha.58577s0001.1.p	NaN
63	AT4G32105.1	491523	Thhalv10027554m	Araha.8819s0016.1.p	NaN
65	AT2G01240.1	484033	Thhalv10001131m	Araha.5102s0008.1.p	NaN
68	AT3G09440.1	928617	Thhalv10020258m	Araha.4860s0005.1.p	NaN
70	AT2G34300.1	482372	Thhalv10016285m	Araha.20846s0011.1.p	NaN
72	AT5G17500.1	488616	Thhalv10015581m	Araha.7904s0001.1.p	NaN
73	AT1G48650.2	923204	Thhalv10011191m	Araha.0881s0017.1.p	NaN
75	AT1G55790.1	924098	Thhalv10011398m	Araha.16361s0006.1.p	NaN
91	AT3G51370.1	485488	Thhalv10010452m	Araha.18525s0002.1.p	NaN
99	AT5G53520.1	916994	Thhalv10015543m	Araha.2888s0002.1.p	NaN
113	AT4G28397.1	889298	Thhalv10026605m	Araha.25089s0007.1.p	NaN
116	AT5G15610.1	488406	Thhalv10013660m	Araha.2152s0036.1.p	NaN
120	AT5G55980.1	950253	Thhalv10015819m	Araha.23826s0002.1.p	NaN
131	AT3G53560.1	938259	Thhalv10010528m	Araha.0602s0001.1.p	NaN
135	AT4G08560.1	351970	Thhalv10009481m	Araha.7317s0002.1.p	NaN
146	AT5G20500.1	941600	Thhalv10014993m	Araha.29546s0006.1.p	NaN
147	AT1G01780.1	918777	Thhalv10008789m	Araha.6699s0020.1.p	NaN
153	AT2G30810.1	481998	Thhalv10009582m	Araha.26185s0003.1.p	NaN
170	AT1G58210.1	475432	Thhalv10023956m	Araha.39738s0001.1.p	NaN
176	AT3G02100.1	903001	Thhalv10020693m	Araha.26702s0001.1.p	NaN
193	AT3G27810.1	322901	Thhalv10004857m	Araha.21054s0001.1.p	NaN
198	AT4G22940.1	889875	Thhalv10027413m	Araha.10415s0014.1.p	NaN
219	AT4G00750.1	490494	Thhalv10028512m	Araha.19926s0002.1.p	NaN
222	AT4G15715.1	493316	Thhalv10026796m	Araha.12364s0003.1.p	NaN
230	AT3G15490.1	318329	Thhalv10021964m	Araha.27788s0006.1.p	NaN
240	AT2G22170.1	932181	Thhalv10000731m	Araha.5954s0003.1.p	NaN
252	AT5G58880.1	917622	Thhalv10012537m	Araha.2135s0005.1.p	NaN
259	AT3G23810.1	479893	Thhalv10002505m	Araha.36177s0001.1.p	NaN
263	AT1G10745.1	312119	Thhalv10009817m	Araha.14754s0007.1.p	NaN
265	AT3G56550.1	348734	Thhalv10005859m	Araha.14238s0001.1.p	NaN
271	AT4G02120.1	943524	Thhalv10028554m	Araha.14366s0001.1.p	NaN
272	AT2G38870.1	482903	Thhalv10017502m	Araha.12970s0007.1.p	NaN
284	AT1G69630.1	476098	Thhalv10018570m	Araha.39991s0006.1.p	NaN
286	AT3G10910.1	478427	Thhalv10021678m	Araha.24867s0015.1.p	NaN
293	AT5G13490.1	488169	Thhalv10013800m	Araha.1988s0003.1.p	NaN
296	AT3G25170.1	930628	Thhalv10002753m	Araha.70070s0001.1.p	NaN
314	AT4G28550.1	945175	Thhalv10025292m	Araha.3365s0009.1.p	NaN
316	AT1G73230.1	339529	Thhalv10019231m	Araha.6929s0004.1.p	NaN
327	AT1G26200.1	921640	Thhalv10008634m	Araha.0391s0007.1.p	NaN
334	AT5G56950.1	357912	Thhalv10013848m	Araha.2632s0003.1.p	NaN
341	AT5G08270.1	487659	Thhalv10013838m	Araha.4802s0001.1.p	NaN
345	AT3G20710.1	479597	Thhalv10022091m	Araha.6900s0009.1.p	NaN
358	AT5G02880.1	487067	Thhalv10012430m	Araha.6970s0020.1.p	NaN
359	AT1G72640.1	476397	Thhalv10018914m	Araha.12369s0003.1.p	NaN
369	AT1G67100.1	908256	Thhalv10019048m	Araha.1584s0002.1.p	NaN
374	AT1G32770.1	313839	Thhalv10009336m	Araha.40634s0001.1.p	NaN
385	AT1G06260.1	919340	Thhalv10008102m	Araha.0049s0011.1.p	NaN
392	AT3G56610.1	486103	Thhalv10006438m	Araha.11357s0006.1.p	NaN
394	AT2G02515.1	935995	Thhalv10005343m	Araha.5101s0007.1.p	NaN
396	AT1G34180.2	473571	Thhalv10007196m	Araha.65799s0001.1.p	NaN
410	AT5G60220.1	358240	Thhalv10014304m	Araha.8175s0003.1.p	NaN
412	AT1G17145.1	471915	Thhalv10008156m	Araha.5365s0003.1.p	NaN
422	AT1G61610.1	907291	Thhalv10023270m	Araha.2138s0002.1.p	NaN
424	AT5G05490.1	325180	Thhalv10013002m	Araha.13672s0015.1.p	NaN
432	AT5G26120.1	489456	Thhalv10015637m	Araha.8974s0011.1.p	NaN
433	AT5G43000.1	494703	Thhalv10003379m	Araha.54754s0001.1.p	NaN
435	AT2G40430.2	934847	Thhalv10016839m	Araha.13492s0001.1.p	NaN
437	AT2G05420.1	480146	Thhalv10012015m	Araha.0222s0001.1.p	NaN
442	AT3G52520.1	485618	Thhalv10011026m	Araha.27473s0003.1.p	NaN
449	AT1G29710.1	922010	Thhalv10002347m	Araha.17178s0003.1.p	NaN
452	AT2G47160.2	483891	Thhalv10001337m	Araha.9554s0001.1.p	NaN
457	AT2G42910.1	483391	Thhalv10016898m	Araha.22350s0004.1.p	NaN
463	AT2G24630.1	932530	Thhalv10000073m	Araha.2588s0002.1.p	NaN
465	AT1G10690.1	919860	Thhalv10009472m	Araha.14754s0001.1.p	NaN
480	AT5G36100.1	493651	Thhalv10005424m	Araha.45805s0001.1.p	NaN
482	AT5G19473.1	488838	Thhalv10015114m	Araha.24337s0001.1.p	NaN
504	AT1G71230.1	926474	Thhalv10018788m	Araha.4747s0016.1.p	NaN
518	AT1G51380.1	474250	Thhalv10011544m	Araha.30365s0002.1.p	NaN
524	AT1G04780.1	470463	Thhalv10007017m	Araha.13178s0011.1.p	NaN
536	AT4G25150.1	329150	Thhalv10026026m	Araha.0632s0028.1.p	NaN
555	AT1G06490.1	470669	Thhalv10006529m	Araha.2773s0033.1.p	NaN
559	AT1G70440.1	476164	Thhalv10019788m	Araha.31534s0001.1.p	NaN
569	AT1G18530.1	920786	Thhalv10008984m	Araha.3597s0020.1.p	NaN
575	AT1G73885.1	339588	Thhalv10019131m	Araha.9988s0001.1.p	NaN
590	AT3G04080.1	477668	Thhalv10020649m	Araha.0709s0003.1.p	NaN
599	AT1G17180.1	911524	Thhalv10008735m	Araha.5365s0008.1.p	NaN
603	AT4G25380.1	945551	Thhalv10027349m	Araha.0632s0004.1.p	NaN
611	AT3G18600.1	479365	Thhalv10020375m	Araha.15805s0010.1.p	NaN
613	AT2G34750.1	482439	Thhalv10016395m	Araha.9950s0003.1.p	NaN
616	AT5G09410.3	487754	Thhalv10012552m	Araha.13692s0022.1.p	NaN
620	AT5G04390.1	939836	Thhalv10013864m	Araha.13695s0003.1.p	NaN
642	AT2G13350.1	480303	Thhalv10022712m	Araha.20882s0001.1.p	NaN
655	AT2G27970.1	933236	Thhalv10017678m	Araha.27935s0004.1.p	NaN
658	AT3G15500.1	478996	Thhalv10021174m	Araha.34090s0001.1.p	NaN
659	AT1G51220.1	923597	Thhalv10011987m	Araha.30494s0001.1.p	NaN
668	AT4G34580.1	888608	Thhalv10024823m	Araha.10294s0020.1.p	NaN
674	AT5G64910.1	918289	Thhalv10004094m	Araha.8092s0015.1.p	NaN
682	AT4G17085.1	329817	Thhalv10026742m	Araha.24127s0018.1.p	NaN
689	AT3G26120.1	322753	Thhalv10005263m	Araha.2084s0005.1.p	NaN
692	AT4G26270.1	492186	Thhalv10025029m	Araha.3974s0014.1.p	NaN
704	AT4G00300.1	490540	Thhalv10028441m	Araha.1283s0005.1.p	NaN
723	AT3G18350.1	929713	Thhalv10020186m	Araha.9570s0015.1.p	NaN
725	AT5G53820.1	495458	Thhalv10015216m	Araha.24198s0005.1.p	NaN
740	AT4G25950.1	492222	Thhalv10026625m	Araha.27826s0001.1.p	NaN
747	AT1G19940.1	472218	Thhalv10007364m	Araha.7838s0001.1.p	NaN
749	AT5G35400.2	947180	Thhalv10003453m	Araha.8457s0003.1.p	NaN
753	AT4G11010.1	489940	Thhalv10028863m	Araha.15914s0001.1.p	NaN
794	AT5G24180.1	894309	Thhalv10005574m	Araha.0642s0002.1.p	NaN
802	AT1G44090.1	913614	Thhalv10012190m	Araha.10191s0002.1.p	NaN
803	AT1G10900.1	471229	Thhalv10006872m	Araha.11242s0011.1.p	NaN
812	AT2G02140.1	935955	Thhalv10005233m	Araha.35465s0005.1.p	NaN
826	AT2G20208.1	319544	Thhalv10002324m	Araha.8625s0002.1.p	NaN
840	AT1G70600.1	476190	Thhalv10019240m	Araha.53811s0001.1.p	NaN
848	AT3G55190.1	324045	Thhalv10010560m	Araha.3417s0004.1.p	NaN
890	AT5G15740.1	488418	Thhalv10013286m	Araha.2152s0045.1.p	NaN
902	AT1G70500.1	908642	Thhalv10019797m	Araha.32519s0003.1.p	NaN
907	AT5G59450.1	496077	Thhalv10013016m	Araha.7283s0010.1.p	NaN
915	AT4G17210.1	493156	Thhalv10024903m	Araha.24127s0010.1.p	NaN
922	AT5G57625.1	495859	Thhalv10014709m	Araha.3774s0005.1.p	NaN
926	AT1G48470.1	923181	Thhalv10011613m	Araha.20682s0002.1.p	NaN
929	AT2G34360.1	482381	Thhalv10016570m	Araha.9764s0009.1.p	NaN
945	AT2G35300.1	482494	Thhalv10017485m	Araha.7846s0005.1.p	NaN
949	AT1G10620.1	919851	Thhalv10006940m	Araha.0118s0004.1.p	NaN
955	AT1G71100.1	926455	Thhalv10019520m	Araha.4747s0006.1.p	NaN
