,genename,targets
0,Cre12.g553300,['Cre16.g654000']
1,Cre06.g253851,"['Cre06.g253566', 'Cre06.g254002']"
2,Cre03.g180400,"['Cre20.g751797', 'Cre21.g752447']"
3,Cre01.g025025,"['Cre02.g082877', 'Cre02.g083350', 'Cre02.g082800']"
4,Cre12.g486250,['Cre02.g142687']
5,Cre02.g083350,"['Cre02.g084176', 'Cre02.g082800']"
6,Cre01.g016600,['Cre01.g016750']
7,Cre01.g016750,['Cre01.g016600']
8,Cre11.g467717,['Cre12.g507558']
9,Cre02.g142687,['Cre12.g486250']
10,Cre08.g367500,['Cre08.g367400']
11,Cre07.g330000,['Cre07.g329900']
12,Cre14.g622600,['Cre14.g622951']
13,Cre17.g719537,"['Cre16.g687652', 'Cre06.g263176', 'Cre09.g391060', 'Cre09.g386745', 'Cre09.g386751', 'Cre17.g708076', 'Cre24.g755147', 'Cre03.g161301']"
14,Cre06.g284250,['Cre06.g283950']
15,Cre06.g283950,['Cre06.g284250']
16,Cre08.g376550,['Cre33.g759047']
17,Cre17.g719100,['Cre17.g719200']
18,Cre17.g722616,['Cre17.g722583']
19,Cre05.g248450,['Cre05.g248400']
20,Cre05.g243600,['Cre05.g243450']
21,Cre05.g243650,['Cre05.g243550']
22,Cre02.g091300,['Cre02.g091350']
23,Cre10.g435200,['Cre10.g434950']
24,Cre12.g548950,['Cre12.g548400']
25,Cre12.g548400,['Cre12.g548950']
26,Cre16.g684550,['Cre16.g684350']
27,Cre04.g217962,"['Cre19.g751047', 'Cre03.g198250', 'Cre21.g752247']"
28,Cre02.g120150,['Cre02.g120100']
29,Cre02.g120100,['Cre02.g120150']
30,Cre10.g460800,['Cre10.g460700']
31,Cre12.g544150,['Cre12.g544114']
32,Cre11.g467718,['Cre12.g507559']
33,Cre14.g622100,"['Cre08.g373362', 'Cre08.g373366', 'Cre09.g386733', 'Cre09.g402626', 'Cre04.g212900', 'Cre04.g224915']"
34,Cre10.g445275,"['Cre07.g333816', 'Cre07.g333816', 'Cre14.g622340', 'Cre14.g622410', 'Cre16.g666602', 'Cre16.g666627', 'Cre16.g668125', 'Cre06.g278285', 'Cre06.g278289', 'Cre06.g278289', 'Cre06.g278289', 'Cre06.g278287', 'Cre06.g278282', 'Cre09.g399960', 'Cre09.g400182', 'Cre09.g400034', 'Cre28.g757747', 'Cre28.g757747', 'Cre28.g757747', 'Cre28.g757497', 'Cre28.g757547', 'Cre05.g235102', 'Cre25.g756247', 'Cre13.g601519', 'Cre13.g601519', 'Cre02.g093051', 'Cre02.g095032', 'Cre27.g757197', 'Cre27.g757347', 'Cre27.g757147', 'Cre27.g757397', 'Cre03.g208551', 'Cre03.g208305', 'Cre03.g208556', 'Cre01.g006600', 'Cre10.g445226', 'Cre21.g753097', 'Cre21.g753147', 'Cre12.g539150']"
35,Cre16.g655850,['Cre16.g655700']
36,Cre21.g752447,['Cre20.g751797']
37,Cre02.g096601,"['Cre05.g236400', 'Cre05.g236400', 'Cre05.g236400']"
38,Cre12.g523400,['Cre15.g637761']
39,Cre02.g143447,['Cre02.g143547']
40,Cre03.g194500,['Cre03.g194600']
41,Cre04.g216850,['Cre03.g190950']
42,Cre03.g190950,['Cre04.g216850']
43,Cre12.g497500,"['Cre12.g497652', 'Cre12.g497653']"
44,Cre12.g525950,"['Cre12.g525750', 'Cre12.g526051', 'Cre12.g526150']"
45,Cre12.g526051,"['Cre12.g525750', 'Cre12.g525950', 'Cre12.g526650', 'Cre12.g526150', 'Cre12.g526450']"
46,Cre12.g497652,"['Cre12.g497500', 'Cre12.g497653']"
47,Cre12.g542250,['Cre12.g549550']
48,Cre08.g373366,"['Cre08.g373362', 'Cre09.g386733', 'Cre04.g212900']"
49,Cre09.g386733,"['Cre08.g373362', 'Cre08.g373366', 'Cre04.g212900']"
50,Cre04.g212900,"['Cre08.g373362', 'Cre08.g373366', 'Cre09.g386733']"
51,Cre02.g142426,['Cre11.g479150']
52,Cre11.g467589,"['Cre11.g467588', 'Cre11.g467584']"
53,Cre11.g467586,"['Cre11.g467588', 'Cre11.g467589']"
54,Cre11.g467588,"['Cre11.g467584', 'Cre11.g467589']"
55,Cre09.g392988,['Cre22.g754047']
