,genename,offtarget,# match within CDS,CDS,Gene,RNAseq,platename,Pos.Nr,Position,right size,no band,too big,too small,schmier
0,Cre08.g369500,0.0,1.0,['453'],['453'],['453'],P1kCre5,35.0,C5,1.0,0.0,1.0,,
1,Cre08.g375550,0.0,1.0,['708'],['3165'],['708'],P1kCre7,46.0,F6,1.0,,,,
2,Cre08.g386050,0.0,1.0,['903'],['1851'],"['903', '903']",P1kCre9,59.0,C8,0.0,1.0,,,
3,Cre08.g384700,0.0,1.0,['972'],['2938'],"['972', '972']",P1kCre11,3.0,C1,0.0,1.0,,,
4,Cre08.g385700,0.0,1.0,['987'],['4316'],"['1309', '944', '1210', '888', '987', '888', '987', '845', '987', '888']",P1kCre3,57.0,A8,1.0,,,,
5,Cre08.g364250,0.0,1.0,['705'],['2620'],"['705', '705']",P1kCre1+2,95.0,G12,0.0,1.0,,,
6,Cre08.g358900,0.0,1.0,['720'],['2882'],[],P1kCre3,4.0,D1,0.0,1.0,,,
7,Cre08.g383150,0.0,1.0,['522'],['2017'],['522'],P1kCre5,53.0,E7,1.0,,,,
8,Cre08.g376100,0.0,1.0,['918'],['2950'],"['918', '918', '1146', '945', '918', '918']",P1kCre9,69.0,E9,0.0,1.0,,,
9,Cre07.g341650,0.0,1.0,['708'],['1825'],"['708', '708']",P1kCre7,45.0,E6,1.0,,,,
10,Cre07.g325728,0.0,1.0,['594'],['1120'],['594'],P1kCre5,92.0,D12,1.0,,1.0,,
11,Cre07.g339200,0.0,1.0,['585'],['1133'],['585'],P1kCre5,84.0,D11,1.0,0.0,1.0,,
12,Cre07.g333900,0.0,1.0,['318'],['805'],"['636', '318']",P1kCre3,78.0,F10,1.0,,,,
13,Cre07.g328200,0.0,1.0,['912'],['3161'],['912'],P1kCre9,67.0,C9,1.0,,,,
14,Cre07.g354301,0.0,1.0,['543'],['1197'],['543'],P1kCre5,63.0,G8,0.0,1.0,,,
15,Cre07.g356400,0.0,1.0,['549'],['1652'],['549'],P1kCre5,69.0,E9,1.0,,,,
16,Cre07.g321850,0.0,1.0,['591'],['2010'],['591'],P1kCre5,86.0,F11,1.0,,,,
17,Cre07.g323800,0.0,1.0,['216'],['530'],[],P1kCre1+2,20.0,D3,0.0,0.0,1.0,,
18,Cre07.g330950,0.0,1.0,['432'],['2019'],"['432', '432', '432']",P1kCre1+2,5.0,E1,0.0,1.0,,,
19,Cre07.g320350,0.0,1.0,['957'],['2016'],['957'],P1kCre9,91.0,C12,0.0,1.0,,,
20,Cre07.g315900,0.0,1.0,['546'],['1818'],['546'],P1kCre1+2,67.0,C9,0.0,1.0,,,
21,Cre07.g325743,0.0,1.0,['321'],['1745'],['321'],P1kCre3,79.0,G10,1.0,,,,
22,Cre07.g344350,0.0,1.0,['879'],[],[],P1kCre9,45.0,E6,1.0,,,,
23,Cre07.g342352,0.0,1.0,['174'],['174'],"['174', '174']",P1kCre3,61.0,E8,1.0,,,,
24,Cre07.g351650,0.0,1.0,['570'],[],"['570', '570']",P1kCre5,74.0,B10,1.0,,,,
25,Cre07.g320800,0.0,1.0,['981'],['1645'],"['981', '957', '957', '1123', '981']",P1kCre11,10.0,B2,1.0,,,,
26,Cre07.g312500,0.0,1.0,['366'],['865'],['366'],P1kCre3,91.0,C12,1.0,,,,
27,Cre07.g321300,0.0,1.0,['594'],['2138'],"['594', '594', '594', '594']",P1kCre1+2,74.0,B10,1.0,,,,
28,Cre07.g337750,0.0,1.0,['816'],['2588'],['817'],P1kCre3,23.0,G3,0.0,1.0,,,
29,Cre07.g348750,0.0,1.0,['825'],['1889'],"['825', '825']",P1kCre9,17.0,A3,1.0,,,,
30,Cre07.g343433,0.0,1.0,['702'],['3103'],[],P1kCre7,42.0,B6,0.0,1.0,,,
31,Cre07.g332851,0.0,1.0,['240'],[],[],P1kCre3,70.0,F9,0.0,1.0,,,
32,Cre07.g327350,0.0,1.0,['534'],['2164'],['534'],P1kCre5,58.0,B8,0.0,1.0,,,
33,Cre07.g329650,0.0,1.0,['642'],['1574'],"['642', '756']",P1kCre7,13.0,E2,1.0,,,,
